id,series_type,user_id,series_id,status,score,progress,progress_volume,priority,repeat,private,notes,custom_lists,advanced_scores,hidden_default,started_on,finished_on,created_at,updated_at
449894592,1,7078392,158448,0,70,13,0,0,0,0,,[],[],0,0,0,2024-12-31 06:58:51,2025-01-04 04:17:37
449966518,1,7078392,132926,0,70,20,0,0,0,0,,[],[],0,20241212,0,2024-12-31 12:35:55,2024-12-31 12:35:55
449967614,1,7078392,101517,2,70,271,30,0,0,0,,[],[],0,0,20241230,2024-12-31 12:41:17,2024-12-31 12:41:51
449968679,1,7078392,99970,1,0,0,0,0,0,0,,[],[],0,0,0,2024-12-31 12:49:34,2024-12-31 12:49:34
449968838,1,7078392,140475,4,70,20,0,0,0,0,,[],[],0,0,0,2024-12-31 12:51:59,2024-12-31 12:51:59
449968903,1,7078392,37375,4,70,40,0,0,0,0,,[],[],0,0,0,2024-12-31 12:53:02,2024-12-31 12:53:02
449968956,1,7078392,146983,2,70,1,1,0,0,0,,[],[],0,0,20241230,2024-12-31 12:53:42,2024-12-31 12:53:42
450080750,1,7078392,164263,0,70,8,0,0,0,0,,[],[],0,20241231,0,2025-01-01 03:29:39,2025-01-01 03:29:39
450081434,1,7078392,140495,4,50,17,0,0,0,0,,[],[],0,0,0,2025-01-01 03:36:51,2025-01-01 03:36:51
450081555,1,7078392,97553,2,90,18,3,0,0,0,,[],[],0,0,20241231,2025-01-01 03:37:59,2025-01-01 03:37:59
450082400,1,7078392,147586,4,50,30,0,0,0,0,,[],[],0,0,0,2025-01-01 03:43:53,2025-01-01 03:43:53
450082734,1,7078392,147278,3,50,0,0,0,0,0,,[],[],0,0,0,2025-01-01 03:48:32,2025-01-01 03:48:32
450083356,1,7078392,140159,3,30,25,0,0,0,0,,[],[],0,0,0,2025-01-01 03:51:15,2025-01-01 03:51:15
450083383,1,7078392,173937,3,0,0,0,0,0,0,,[],[],0,0,0,2025-01-01 03:51:38,2025-01-01 03:51:38
450083514,1,7078392,128486,3,30,60,0,0,0,0,,[],[],0,0,0,2025-01-01 03:53:04,2025-01-01 03:53:04
450083772,1,7078392,183352,2,70,39,0,0,0,0,,[],[],0,0,20241231,2025-01-01 03:56:12,2025-01-01 03:56:12
450083806,1,7078392,161750,3,0,0,0,0,0,0,,[],[],0,0,0,2025-01-01 03:56:37,2025-01-01 03:56:37
450084013,1,7078392,101670,3,10,0,0,0,0,0,,[],[],0,0,0,2025-01-01 03:59:14,2025-01-01 03:59:14
450084184,1,7078392,150106,4,50,67,0,0,0,0,,[],[],0,0,0,2025-01-01 04:01:35,2025-01-01 04:01:35
450084330,1,7078392,152422,4,50,31,0,0,0,0,,[],[],0,0,0,2025-01-01 04:03:40,2025-01-01 04:03:40
450084422,1,7078392,113704,3,30,0,0,0,0,0,,[],[],0,0,0,2025-01-01 04:04:55,2025-01-01 04:04:55
450084453,1,7078392,125233,3,30,70,0,0,0,0,,[],[],0,0,0,2025-01-01 04:05:12,2025-01-01 04:05:12
450086135,1,7078392,146391,2,50,56,0,0,0,0,,[],[],0,0,20241231,2025-01-01 04:10:31,2025-01-01 04:10:31
450086676,1,7078392,115748,4,90,40,0,0,0,0,,[],[],0,0,0,2025-01-01 04:17:31,2025-01-01 04:17:31
450087310,1,7078392,173035,4,50,31,0,0,0,0,,[],[],0,0,0,2025-01-01 04:25:15,2025-01-01 04:25:15
